file_name,score,score_error,percentiles_0,percentiles_50,percentiles_90,percentiles_95,percentiles_99
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=ONES&compressionType=ZSTD&maxBatchSize=200&messageSize=10000&messageVersion=2.json,0.00044652609853100837,1.9031883685036102e-06,0.000392704,0.00040243200000000004,0.00040806400000000003,0.000912384,0.0012106751999999882
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=GZIP&maxBatchSize=10&messageSize=100000&messageVersion=1.json,0.00036860562014557626,5.992095824289891e-07,0.00034252800000000004,0.00035686400000000003,0.000367616,0.00040243200000000004,0.0006218035199999958
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=LZ4&maxBatchSize=1&messageSize=100&messageVersion=1.json,6.774453037043817e-07,4.990517654291311e-10,6.340000000000001e-07,6.490000000000001e-07,6.71e-07,7.200000000000001e-07,1.052e-06
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=NONE&maxBatchSize=50&messageSize=1000&messageVersion=1.json,2.263152400749215e-06,1.7457570486697801e-09,1.9940000000000003e-06,2.2e-06,2.24e-06,2.296e-06,4.024e-06
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=SNAPPY&maxBatchSize=2&messageSize=100&messageVersion=1.json,8.632876037777453e-07,6.393426373573463e-10,8.060000000000001e-07,8.26e-07,8.36e-07,9.030000000000001e-07,1.4340000000000002e-06
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=500&messageSize=1000&messageVersion=2.json,0.00016566578623756033,2.705340103485646e-07,0.00013875200000000002,0.00016256000000000002,0.00016512000000000002,0.000178688,0.00035328000000000003
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=SNAPPY&maxBatchSize=10&messageSize=1000&messageVersion=2.json,6.613212489538114e-06,6.190123155641892e-09,5.736000000000001e-06,6.3200000000000005e-06,6.44e-06,6.496e-06,1.3616000000000001e-05
apache__logging-log4j2#org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutBenchmark.fullCustomJsonLayout#.json,0.10413913423154526,0.00021910297482623074,0.09437184000000001,0.101056512,0.10970726400000001,0.13657702400000002,0.146014208
apache__logging-log4j2#org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutBenchmark.liteCustomJsonLayout#.json,0.0032126213950492526,5.130524138063711e-06,0.002957312,0.003096576,0.0031744000000000004,0.004161536,0.004333568
apache__logging-log4j2#org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutBenchmark.liteJsonTemplateLayout4JsonLayout#.json,0.003773461777748642,5.239235630542995e-07,0.0036823040000000004,0.003764224,0.003833856,0.003862528,0.0039321600000000005
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j1Benchmark.throughput11Params#.json,1.3199910409959066e-06,8.678278510142021e-09,3.51e-07,5.96e-07,3.812e-06,4.512e-06,5.5760000000000005e-06
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params#configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml.json,1.3549005387164393e-06,1.7326859088577225e-08,7.720000000000001e-07,1.2820000000000002e-06,1.4480000000000002e-06,1.596e-06,2.984e-06
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple#configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml.json,1.9229136536354422e-05,3.4122613358153065e-08,1.6768e-05,1.8528e-05,2.08e-05,2.1280000000000003e-05,2.3104e-05
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params#.json,2.119345166121545e-06,1.2368775524491115e-08,6.47e-07,7.78e-07,4.896e-06,5.92e-06,1.1408e-05
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params#.json,1.1694835652156785e-06,3.4061422755817535e-09,4.66e-07,1.102e-06,1.446e-06,1.6260000000000002e-06,2.852e-06
